cocktail,measure,ingredient,unit
Bloody Maria,2.0, Tomato Juice,Fl Oz
Pineapple Dream Cocktail,0.5, Juice of a Lime,Fl Oz
Big Red Hooter,0.75, Amaretto,Fl Oz
Blood Bronx Cocktail,1.5, Dry Vermouth,Fl Oz
Bravo,0.25, Agave nectar,Fl Oz
Amante Picante,2.0, Fresh cilantro sprigs,Fl Oz
Brunswick Street Cocktail,1.5," Sweet sherry, preferably Pedro Ximenez",Fl Oz
Black Hawk Cocktail,1.25, Old Mr. Boston Sloe Gin,Fl Oz
Alamo Splash,1.0, Orange juice,Fl Oz
Betsy Ross Cocktail,1.5, Port,Fl Oz
Bermuda Rose Cocktail,1.5, Old Mr. Boston Apricot Flavored Brandy,Fl Oz
Yokahama Romance,1.0, Gin,Fl Oz
Yale Cocktail,0.5, Dry Vermouth,Fl Oz
Xanthia Cocktail,0.75, cherry-flavored brandy,Fl Oz
Woodstock,1.0, Fresh lemon juice,Fl Oz
Wolf's Bite,1.0, Grapefruit Juice,Fl Oz
Barbary Coast Cocktail,0.5, Old Mr. Boston Rum,Fl Oz
The Winkle,2.0, Gin,Fl Oz
The Wink,2.0, Gin,Fl Oz
Will Rogers,0.5, Dry Vermouth,Fl Oz
Brandy Vermouth Cocktail,0.5, Sweet Vermouth,Fl Oz
White Spider,0.75, Fresh lemon juice,Fl Oz
White Lady,0.75, Triple Sec,Fl Oz
Western Rose,0.5, Dry Vermouth,Fl Oz
May Blosson Fizz,0.5, Juice of a Lemon,Fl Oz
Wembly Cocktail,0.75, Dry Vermouth,Fl Oz
Apple Pie Cocktail,0.75, Sweet Vermouth,Fl Oz
Water Lily,0.75, Triple Sec,Fl Oz
Wallis Blue Cocktail,1.0, Gin,Fl Oz
Minnehaha Cocktail,0.5, Dry Vermouth,Fl Oz
Wallick Cocktail,1.5, Dry Vermouth,Fl Oz
Waikiki Beachcomber,0.75, Triple Sec,Fl Oz
Vow Of Silence,0.75, Grapefruit Juice,Fl Oz
Gauguin,1.0, Lemon Juice,Fl Oz
Fort Lauderdale,0.25, Juice of Orange,Fl Oz
Apple Pie,1, Apple slice,garnish
Cuban Cocktail No. 1,2.0, Light Rum,Fl Oz
Cool Carlos,2.0, Pineapple Juice,Fl Oz
John Collins,0.5, Simple Syrup,Fl Oz
Cherry Rum,1.0, Light cream,Fl Oz
Casa Blanca,1.5, Triple Sec,Fl Oz
Caribbean Champagne,,Chilled Champagne,garnish
Amber Amour,0.25, Simple Syrup,Fl Oz
The Joe Lewis,0.75, Tawny port,Fl Oz
Bacardi Cocktail,0.5, Grenadine,Fl Oz
Apple Pie No. 1,1.0, Apple Brandy,Fl Oz
Yolanda,0.5, Anisette,Fl Oz
Yellow Rattler,0.5, Dry Vermouth,Fl Oz
Why Not?,0.5, Dry Vermouth,Fl Oz
What The Hell,1.0, Apricot Flavored Brandy,Fl Oz
Webster Cocktail,0.5, Dry Vermouth,Fl Oz
Union Jack Cocktail,0.5, Grenadine,Fl Oz
Jocose Julep,1.0, Fresh Lime Juice,Fl Oz
Trinity Cocktail,0.75, Gin,Fl Oz
Three Stripes Cocktail,1.0, Orange Juice,Fl Oz
Tanq-A-Rita,1.0, Triple Sec,Fl Oz
Amaretto Sour,0.5, Simple Syrup,Fl Oz
Tailspin Cocktail,0.75, Green Chartreuse,Fl Oz
Sweet Patootie Cocktail,1.0, Orange Juice,Fl Oz
Sunshine Cocktail,1.0, Bitters,Fl Oz
Spring Feeling Cocktail,1.0, Gin,Fl Oz
Sphinx Cocktail,1.5, Dry Vermouth,Fl Oz
Jitterbug Sour,0.75, Fresh lemon juice,Fl Oz
Southern Gin Cocktail,0.5, Triple Sec,Fl Oz
Society Cocktail,0.25, Grenadine,Fl Oz
Snyder,0.5, Triple Sec,Fl Oz
Smiler Cocktail,1.0, Gin,Fl Oz
Smile Cocktail,0.5, Lemon Juice,Fl Oz
Amaretto Rose,0.5, Simple Syrup,Fl Oz
Sand-Martin Cocktail,1.5, Gin,Fl Oz
Irish Whiskey Highball,1.0, Lemon twist (optional),Fl Oz
Japanese,2.0, Angostura Bitters,Fl Oz
Roselyn Cocktail,0.5, Grenadine,Fl Oz
Resolute Cocktail,1.0, Gin,Fl Oz
Racquet Club Cocktail,1.0, Orange Bitters,Fl Oz
Pollyanna Cocktai,2.0, Gin,Fl Oz
Plaza Cocktail,0.75, Gin,Fl Oz
Irish Whiskey Cocktail,0.5, Anisette,Fl Oz
Absinthe Special Cocktail,1.0, Orange Bitters,Fl Oz
Nineteenth Hole,1.0, Sweet Vermouth,Fl Oz
Monte Carlo Imperial Highball,0.25, Juice of a Lemon,Fl Oz
Irish Shillelagh,0.5, Sloe gin,Fl Oz
Melon Cocktail,0.25, Maraschino,Fl Oz
Martini (Medium),0.5, Sweet Vermouth,Fl Oz
Mamie's Sister,1, Ginger ale,garnish
Irish Rickey,1.0, Soda water,Fl Oz
Maiden's Prayer,1.0, Lemon Juice,Fl Oz
London Buck,1, Ginger ale,garnish
Leap Frog Highball,1, Ginger ale,garnish
Incider Cocktail,1.0, Apple slice,Fl Oz
Kup's Indispensable Cocktail,1.5, Gin,Fl Oz
Knock-Out Cocktail,0.75, Dry Vermouth,Fl Oz
K. G. B. Cocktail,0.25, Apricot Flavored Brandy,Fl Oz
Imperial Fizz,1.0, Fresh lemon juice,Fl Oz
Jeyplak Cocktail,0.25, Anisette,Fl Oz
H. P. W. Cocktail,1.5, Gin,Fl Oz
I.A.P.,3.0, Cola,Fl Oz
Hotel Plaza Cocktail,0.75, Gin,Fl Oz
Hawaiin Cocktail,0.5, Triple Sec,Fl Oz
White Russian,1, Milk or half-and-half,garnish
Green Devil,1.0, Lime Juice,Fl Oz
Greenback,1.0, Lemon Juice,Fl Oz
Grapefruit Cocktail,1.0, Maraschino,Fl Oz
Hotel D'alsace,0.5, Benedictine,Fl Oz
Jamaica Granito,1.0, Lemon or Orange Sherbet,Fl Oz
Gin Sling,0.5, Juice of a Lemon,Fl Oz
Gin Milk Punch,1.0, Milk,Fl Oz
Horse's Neck (With A Kick),1.0, Ginger ale,Fl Oz
West Side,0.5, Simple Syrup,Fl Oz
Gimlet ,1.5, Gin,Fl Oz
Free Silver,1.5, Gin,Fl Oz
Frankenjack Cocktail,0.5, Apricot Flavored Brandy,Fl Oz
Fog Horn,2.0, Gin,Fl Oz
Hoot Mon Cocktail,1.0, Benedictine,Fl Oz
Favorite Cocktail,0.75, Gin,Fl Oz
Farmer's Cocktail,0.5, Sweet Vermouth,Fl Oz
Warsaw Cocktail,0.5, Dry Vermouth,Fl Oz
Emerald Isle Cocktail,3.0, Bitters,Fl Oz
Du Barry Cocktail,0.5, Anisette,Fl Oz
Dixie Cocktail,0.5, Dry Vermouth,Fl Oz
Delmonico No. 2,1.5, Gin,Fl Oz
Hole-In-One,0.25, Fresh lemon juice,Fl Oz
Caruso,0.5, Green creme de menthe,Fl Oz
Bulldog Highball,1, Ginger ale,garnish
Brown Cocktail,0.75, Dry Vermouth,Fl Oz
Bronx Terrace Cocktail,0.5, Juice of a Lime,Fl Oz
Bronx Cocktail (Dry),0.25, Juice of Orange,Fl Oz
Hill Dog,0.5, Dry Sherry,Fl Oz
Blue Devil Cocktail,1.0, Maraschino,Fl Oz
Blue Canary,1.0, Blue curacao,Fl Oz
Blue Bird,1.0, Bitters,Fl Oz
Bloodhound Cocktail,1.0, Gin,Fl Oz
Billy Taylor,1, Club Soda,garnish
Bijou Cocktail,0.75, Sweet Vermouth,Fl Oz
Bermuda Rose ,1.5, Grenadine,Fl Oz
Vodka Sour,0.75, Fresh lemon juice,Fl Oz
Apricot Anisette Collins,1.5, Anisette,Fl Oz
Alexander's Sister Cocktail,1.0, Light cream,Fl Oz
Highland Cooler,1, Soda water or ginger ale,garnish
Alexander Cocktail No. 1,1.0, Light cream,Fl Oz
Adam and Eve,1.0, Brandy,Fl Oz
Vodka Sling,0.5, Simple Syrup,Fl Oz
Jack Rose Cocktail,0.25, Grenadine,Fl Oz
Special Rough Cocktail,0.5, Anisette,Fl Oz
Vodka Grasshopper,0.75, White creme de cacao,Fl Oz
Singapore Sling,2.0, Gin,Fl Oz
Saratoga Cocktail,1.0, Lemon Juice,Fl Oz
High Cotton,0.5, Dubonnet Rouge,Fl Oz
Polonaise,0.5, Dry Sherry,Fl Oz
Vodka Gimlet,0.5, Simple Syrup,Fl Oz
Lugger,1.0, Apricot Flavored Brandy,Fl Oz
Jamaica Hop,1.0, Light cream,Fl Oz
Hebrides,0.5, Triple Sec,Fl Oz
Vodka Daisy,0.5, Simple Syrup,Fl Oz
Heavenly Dram,0.75, Fresh lemon juice,Fl Oz
Classic Cocktail,1.5, Maraschino,Fl Oz
Cherry Fizz,1, Club Soda,garnish
Vodka Cooler,1, Soda water or ginger ale,garnish
Button Hook Cocktail,0.5, Anisette,Fl Oz
Brantini,1.0, Dry Vermouth,Fl Oz
Heather's Kiss,0.25, Agave nectar,Fl Oz
Brandy Squirt,1.0, Grenadine,Fl Oz
Brandy Milk Punch,1.0, Milk,Fl Oz
Vodka Collins,0.75, Simple Syrup,Fl Oz
Brandy Crusta Cocktail,1.0, Lemon Juice,Fl Oz
Heather Blush,3.0, Chilled sparkling wine,Fl Oz
Jack Maples,1.0, Aromatic bitters,Fl Oz
Brandy Alexander,0.5, Heavy cream,Fl Oz
Vodka and Tonic,1, Lemon or lime wedge,garnish
Apricot Cocktail,1.5, Apricot Flavored Brandy,Fl Oz
Alexander Cocktail No. 2,1.0, Light cream,Fl Oz
After Dinner Cocktail,1.0, Juice of a Lime,Fl Oz
Harvest Moon,0.5, Apple Brandy,Fl Oz
Red Raider,1.0, Lemon Juice,Fl Oz
Mint Julep (Southern Style),2.0, Water,Fl Oz
Limestone,1, Lime Juice,garnish
Grounds For Divorce,0.25, Cynar,Fl Oz
Gentleman's Cocktail,0.5, Creme de Menthe,Fl Oz
Victory Collins,1.0, Fresh lemon juice,Fl Oz
Bourbon Cobbler,2.0, Grapefruit Juice,Fl Oz
Greenpoint,0.5, Sweet Vermouth,Fl Oz
Yellowjacket,0.5, Lemon Juice,Fl Oz
Velvet Peach Hammer,0.25, Simple Syrup,Fl Oz
Grandfather,1.0, Sweet Vermouth,Fl Oz
Goldrush,1.0, Honey Syrup,Fl Oz
Jack-In-The-Box,1.0, Angostura Bitters,Fl Oz
Saronno,1.0, Light cream,Fl Oz
Saronno Colada (Nutty Colada),3.0, Crushed Pineapple,Fl Oz
Saronno Rose,1.0, Club Soda,Fl Oz
Gilchrist,0.75, Grapefruit Juice,Fl Oz
Frisco Sour,0.5, Fresh Lime Juice,Fl Oz
Fratelli Cocktail,0.5, Yellow Chartreuse,Fl Oz
Francis The Mule,0.5, Fresh lemon juice,Fl Oz
Fox River Cocktail,4.0, Angostura Bitters,Fl Oz
Flying Scotchman,1.0, Angostura Bitters,Fl Oz
The Final Ward,0.75, Green Chartreuse,Fl Oz
Fancy Whiskey,0.25, Triple Sec,Fl Oz
Underneath The Mango Tree,0.5, Peach liqueur,Fl Oz
Fancy-Free Cocktail,1.0, Angostura Bitters,Fl Oz
Honeymoon Cocktail,0.75, Fresh lemon juice,Fl Oz
Twister,1, Lime wedge,garnish
Everybody's Irish Cocktail,1.0, Green Chartreuse,Fl Oz
Trident,1.0, Dry Sherry,Fl Oz
Top Banana,2.0, Orange juice,Fl Oz
Emperor Norton's Mistress,0.5, Vanilla liqueur,Fl Oz
Easterner,0.5, Maple Syrup,Fl Oz
Toasted Drop,0.75, Limoncello,Fl Oz
Eastern Sour,1.0, Fresh Lime Juice,Fl Oz
K. C. B. Cocktail,0.25, Mr. Boston Apricot Flavored Brandy,Fl Oz
Easter Elchies,0.5, Punt e Mes,Fl Oz
Dufftown Flip,0.5, Demerara Syrup,Fl Oz
Harvard Cooler,1, Soda water or ginger ale,garnish
The Duboudreau Cocktail,0.25, Fernet-Branca,Fl Oz
Irish Whisky ,0.25, Maraschino,Fl Oz
Dubliner,0.5, Grand Marnier,Fl Oz
Double Standard Sour,1.0, Fresh lemon juice,Fl Oz
Dixie Whiskey Cocktail,0.5, Triple Sec,Fl Oz
The Titian,1.0, Passion Fruit Juice,Fl Oz
Tiger Tanaka,2.0, Citrus-flavored vodka,Fl Oz
Thyme Collins,1.0, Fresh lemon juice,Fl Oz
Tabby Cat,2.0, Orange Bitters,Fl Oz
God Child,1.0, Heavy cream,Fl Oz
Sweet Maria,0.5, half-and-half,Fl Oz
Dirty Harry,0.5, Sweet Vermouth,Fl Oz
Harvard Cocktail,0.5, Fresh lemon juice,Fl Oz
Gin and Milk Punch,1.0, Milk,Fl Oz
Surf Rider,2.0, Fresh orange juice,Fl Oz
Dinah Cocktail,0.5, Simple Syrup,Fl Oz
Tea Saronno,1.0, Whipped cream,Fl Oz
The Summer Of Love,1.0, Lillet Blanc,Fl Oz
Devil's Soul,0.5, Amaro,Fl Oz
Deshler,0.25, Triple Sec,Fl Oz
Stupid Cupid,1.0, Simple Syrup,Fl Oz
Derby,1.0, Angostura Bitters,Fl Oz
Stockholm 75,0.75, Simple Syrup,Fl Oz
The Delmarva Cocktail,0.5, White creme de menthe,Fl Oz
Sputnik,3.0, Fresh orange juice,Fl Oz
Gotham,3.0, Peach bitters,Fl Oz
De La Louisiane,0.75, Benedictine,Fl Oz
The Debonair,1, Lemon twist,garnish
Soviet,0.5, Dry Vermouth,Fl Oz
Daisy Dueller,0.75, Simple Syrup,Fl Oz
Sonic Blaster,0.5, Creme de banana,Fl Oz
Creole Lady,1.0, Grenadine,Fl Oz
Rum Coooler,1.0, Mr. Boston Rum,Fl Oz
Siberian Sleighride,0.5, White creme de menthe,Fl Oz
Cotton Club Flip,0.75, Fresh Lime Juice,Fl Oz
Golden Dawn,0.5, Gin,Fl Oz
Sidecar,0.5, Fresh lemon juice,Fl Oz
Shalom,0.5, Fresh orange juice and orange wheel,Fl Oz
Commodore Cocktail,0.5, Fresh lemon juice,Fl Oz
Sea Breeze,1.0, Fresh grapefruit juice,Fl Oz
Coffee Old-Fashioned,2.0, Angostura Bitters,Fl Oz
Salty Dog,5.0, Grapefruit Juice,Fl Oz
Dr. Cook,1.0, Maraschino,Fl Oz
Chi-Town Flip,0.75, Fresh lemon juice,Fl Oz
Chef's Pain,0.5, Blackberry liqueur,Fl Oz
Sampan Shipwreck A,0.5, Canned coconut milk,Fl Oz
Chas,0.25, Benedictine,Fl Oz
Goat's Delight,0.25, half-and-half,Fl Oz
Russian Bear Cocktail,0.5, half-and-half,Fl Oz
Character Development,0.5, Dry Sherry,Fl Oz
Ruby Red,1.5, Fresh ruby red grapefruit juice,Fl Oz
Chaplin,0.75, Ramazzotti Amaro,Fl Oz
Rouxby Red,0.25, Fresh lemon juice,Fl Oz
Rosemary Clementine Sparkle,0.75, Fresh lemon juice,Fl Oz
Chapel Hill,0.5, Fresh lemon juice,Fl Oz
Robin's Nest,0.5, White creme de cacao,Fl Oz
Chancellor Cocktail,0.5, Tawny port,Fl Oz
Carre Reprise,1.0, Sweet Vermouth,Fl Oz
Gilroy Cocktail,0.5, Dry Vermouth,Fl Oz
Redhead Martini,0.75, Simple Syrup,Fl Oz
Red Apple,0.5, Fresh lemon juice,Fl Oz
Canal Street Daisy,0.75, Fresh lemon juice,Fl Oz
Canadian Cocktail,0.5, Simple Syrup,Fl Oz
Purple Ruby,0.5, Grapefruit Juice,Fl Oz
Canadian Cherry,0.5, Maraschino liqueur,Fl Oz
Orange Smile,1.0, Grenadine,Fl Oz
Purple Passion Iced Tea,0.5, Gin,Fl Oz
Canadian Breeze,0.5, Fresh lemon juice,Fl Oz
Purple Passion,2.0, Concord grape juice,Fl Oz
Cameron's Kick Cocktail,0.5, Fresh lemon juice,Fl Oz
Georgia Mint Julep,1.5, Brandy,Fl Oz
California Lemonade,1.0, Fresh Lime Juice,Fl Oz
Boston Side Car ,0.75, Mr. Boston Triple Sec,Fl Oz
Cablegram,0.5, Simple Syrup,Fl Oz
Bull And Bear,1.0, Fresh lemon juice,Fl Oz
Brooklyn,1.0, Amer Picon or Torani Amer,Fl Oz
Brighton Punch,0.75, Benedictine,Fl Oz
Bourbon Renewal,0.5, Creme de Cassis,Fl Oz
Bourbon Highball,1, Lemon twist,garnish
Bourbon And Elder,1.0, Angostura Bitters,Fl Oz
Bourbon Crusta,0.5, Triple Sec,Fl Oz
Bourbon Cooler,0.5, Grapefruit Juice,Fl Oz
Froupe Cocktail,1.0, Benedictine,Fl Oz
Bourbon A La Creme,0.5, Vanilla liqueur,Fl Oz
The Bone,0.5, Simple Syrup,Fl Oz
Bobby Burns Cocktail,1.0, Benedictine,Fl Oz
Bloody Scotsman,24.0, V8 cocktail juice,Fl Oz
Blood and Sand,0.5, Sweet Vermouth,Fl Oz
The Blinker,1.0, Raspberry Syrup,Fl Oz
Pike's Peak Cooler,1.0, Powdered Sugar,Fl Oz
Blarney Stone Cocktail,0.5, Triple Sec,Fl Oz
Pacman,1.0, Bitters,Fl Oz
Lemonade (Golden),1.0, Egg Yolk,Fl Oz
Black Hawk,1.0, Maraschino cherry,Fl Oz
Lemonade (Egg),1.0, Whole Egg,Fl Oz
Bensonhurst,1.0, Dry Vermouth,Fl Oz
Chocolate Daisy,1.0, Grenadine,Fl Oz
The Beautiful Day,2.0, Cold brewed green tea,Fl Oz
French Quarter,1, Lemon quarter-wheel,garnish
Creme de Gin Cocktail,1.0, Egg White,Fl Oz
Creamy Screwdriver,6.0, Orange Juice,Fl Oz
Creamy Orange,0.75, Brandy,Fl Oz
Creamsicle,3.0, Orange Juice,Fl Oz
Beals Cocktail,0.5, Sweet Vermouth,Fl Oz
Coronation Cocktail,0.75, Dry Vermouth,Fl Oz
Cornell Cocktail,1.0, Egg White,Fl Oz
Combo,0.5, Triple Sec,Fl Oz
Basin Street,0.75, Fresh lemon juice,Fl Oz
Cole's Raspberry Cream,1.5, White creme de cacao,Fl Oz
Cognac Coupling,0.5, Anis,Fl Oz
Coffee Sour,1.0, Powdered Sugar,Fl Oz
Coffee Flip,1.0, Brandy,Fl Oz
Coffee Cocktail,1.0, Port,Fl Oz
Purple Mask,0.5, White creme de cacao,Fl Oz
Clove Cocktail,0.5, Muscatel Wine,Fl Oz
Clover Leaf Cocktail,1.0, Egg White,Fl Oz
Clover Club Cocktail,1.0, Egg White,Fl Oz
Priority Cocktail,0.5, Coffee liqueur,Fl Oz
Clamato Cocktail,3.0, Tomato Juice,Fl Oz
Cider Eggnog,0.5, Milk,Fl Oz
Chocolate Soldier,1.5, Gin,Fl Oz
Chocolate Flip,0.75, Sloe gin,Fl Oz
Chocolate Cocktail,1.0, Egg Yolk,Fl Oz
Chicago Fizz,1.0, Egg White,Fl Oz
Pretty In Pink,0.75, Creme de noyaux,Fl Oz
Cherry Wine Cocktail,0.5, Juice of a Lime,Fl Oz
Cherry Flip,1.5, cherry-flavored brandy,Fl Oz
Polynesian Cocktail,0.75, cherry-flavored brandy,Fl Oz
Chateau Briand's Rum Cow,2.0, Bitters,Fl Oz
Pink Pussycat,0.5, Grenadine,Fl Oz
Back Porch Swizzle,1.0, Pineapple Juice,Fl Oz
Canadian Pineapple,1.0, Lemon Juice,Fl Oz
Calm Voyage,1.0, Passion Fruit Syrup,Fl Oz
Pink Lemonade,0.25, Fresh Lime Juice,Fl Oz
Caledonia,1.0, Milk,Fl Oz
Caf_ di Amaretto ,1, Whipped cream,garnish
Cafe De Paris Cocktail,1.0, Light cream,Fl Oz
Aztec's Mark,0.25, Benedictine,Fl Oz
Fontainebleau Special,0.5, Dry Vermouth,Fl Oz
Autumn Leaves,0.75, Sweet Vermouth,Fl Oz
Pickled Pink,0.5, Dill pickle brine,Fl Oz
Aquarius,1.0, Cranberry Juice,Fl Oz
Soul Kiss Cocktail,0.75, Dry Vermouth,Fl Oz
Pickled Martini,0.75, Sweet pickle brine,Fl Oz
Sloe Gin Flip,1.0, Sloe gin,Fl Oz
Angel's Share,0.25, Creme de Cassis,Fl Oz
Silver Stallion Fizz,1, Carbonated Water,garnish
Silver King Cocktail,1.5, Gin,Fl Oz
American Trilogy,1.0, Applejack,Fl Oz
Silver Fizz,2.0, Gin,Fl Oz
Sherry Twist Cocktail,0.5, Dry Vermouth,Fl Oz
Sherry Sangaree,2.0, Cream sherry,Fl Oz
Petit Zinc,0.5, Sweet Vermouth,Fl Oz
Sherry Flip,1.5, Cream sherry,Fl Oz
Americana,2.0, Angostura Bitters,Fl Oz
Allegheny,0.5, Blackberry-flavored brandy,Fl Oz
Sevilla Cocktail,1.0, Port,Fl Oz
September Morn Cocktail,0.5, Juice of a Lime,Fl Oz
Peach Iced Tea,0.75, Fresh lemon juice,Fl Oz
Fantasio Cocktail,1.0, White creme de menthe,Fl Oz
Scotch Bird Flyer,0.5, Triple Sec,Fl Oz
Algonquin,1.0, Pineapple Juice,Fl Oz
Savannah,1.0, White creme de cacao,Fl Oz
Pink Rose Fizz,1.0, Egg White,Fl Oz
Ninotchka Cocktail,0.25, Fresh lemon juice,Fl Oz
Prairie Oyster,1.0, Catsup,Fl Oz
Prairie Chicken,1, Pepper and Salt,garnish
Pousse L'Amour,0.5, Benedictine,Fl Oz
Puerto Apple,1.0, Lime Juice,Fl Oz
Akogare,0.75," Cold brewed black tea, preferably Japanese",Fl Oz
Prado,1.0, Maraschino,Fl Oz
Port Wine Flip,1.5, Port,Fl Oz
Port Wine Cobbler,1,shaved ice,garnish
Nijinksy Blini,1.0, Peach puree,Fl Oz
Affinity Cocktail (whisky),1.0, Sweet Vermouth,Fl Oz
Plain Vermouth Cocktail,1.0, Orange Bitters,Fl Oz
Ping-Pong Cocktail,2.0, Sloe gin,Fl Oz
Moscow Mule,1, Ginger beer,garnish
Phoebe Snow,0.5, Anis,Fl Oz
Affinity Cocktail,0.75, Fresh lemon juice,Fl Oz
Peggy Cocktail,0.25, Anis,Fl Oz
Peach Blow Fizz,1.0, Light cream,Fl Oz
Peach Blossom,2.0, Gin,Fl Oz
Mocha Express,0.75, Coffee liqueur,Fl Oz
Palmer Cocktail,0.5, Lemon Juice,Fl Oz
Mr. 404,0.75, Fresh lemon juice,Fl Oz
Mountain Cocktail,0.25, Dry Vermouth,Fl Oz
Morning Glory Fizz,1.0, Egg White,Fl Oz
Adderly Cocktail,2.0, Orange Bitters,Fl Oz
Fancy Brandy,0.25, Simple Syrup,Fl Oz
Montreal Gin Sour,0.5, Egg White,Fl Oz
Montezuma,1.0, Egg Yolk,Fl Oz
Miss Jones,0.5, Butterscotch schnapps,Fl Oz
Mint Gin Cocktail,1.5, Dry Vermouth,Fl Oz
Million-Dollar Cocktail,1.0, Egg White,Fl Oz
Millionaire Cocktail,0.5, Triple Sec,Fl Oz
Academic Review,0.5, Amaro Nonino,Fl Oz
Milk Punch,1.0, Milk,Fl Oz
Merry Widow Fizz,1.0, Egg White,Fl Oz
May Blossom Fizz,2.0, Swedish Punch,Fl Oz
19th Century,0.75, White creme de cacao,Fl Oz
Manila Fizz,1.0, Powdered Sugar,Fl Oz
1626,0.5, cherry-flavored brandy,Fl Oz
Maracuya Mosquito,0.5, Green Chartreuse,Fl Oz
Madras,1.0, Orange juice,Fl Oz
Absinthe Cocktail,1.5, Old Mr. Boston Anisette ,Fl Oz
Lychee Lucy,0.5, Fresh orange juice,Fl Oz
The Loop,0.5, Chile Syrup,Fl Oz
Long Island Iced Tea,0.75, Gin,Fl Oz
Fallen Leaves,0.25, Dry Vermouth,Fl Oz
L'italienne,0.25, Ramazzotti Amaro,Fl Oz
Rum Dubonnet,1.0, Lemon Juice,Fl Oz
Ruby Fizz,1.0, Egg White,Fl Oz
Limoncello Manzanilla Marmalade Sour,0.75, Manzanilla sherry,Fl Oz
Royal Purple Punch,1,lemon,garnish
Royal Gin Fizz,2.0, Gin,Fl Oz
Royal Cocktail,0.5, Powdered Sugar,Fl Oz
Royal Clover Club Cocktail,1.0, Egg Yolk,Fl Oz
Lights On The Plaza,0.5, Simple Syrup,Fl Oz
Rococo,0.5, Triple Sec,Fl Oz
Rock & Rye Cooler,1.0, Lime Juice,Fl Oz
Rock & Rye Cocktail,1.5, Dry Vermouth,Fl Oz
Le Paradini,0.5, Grand Marnier,Fl Oz
Red Swizzle,2.0, Carbonated Water,Fl Oz
Lemon Drop,0.75, Fresh lemon juice,Fl Oz
Rebel Charge ,1.0, Orange Juice,Fl Oz
Rattlesnake Cocktail,1.0, Lemon Juice,Fl Oz
Ramos Fizz,1.0, Powdered Sugar,Fl Oz
San Francisco,0.75, Dry Vermouth,Fl Oz
Sand-Martini Cocktail,1.5, Gin,Fl Oz
Lemon Crush,0.5, Crema di limoncello,Fl Oz
Rye Whiskey Cocktail,2.0, Rye Whiskey,Fl Oz
Leaves Of Grass,0.5, Demerara Syrup,Fl Oz
Whiskey Flip,1.0, Blended whiskey,Fl Oz
L.A. Sunrise,2.0, Fresh orange juice,Fl Oz
White Rose Cocktail,1.0, Juice of a Lime,Fl Oz
White Plush,1.0, Powdered Sugar,Fl Oz
White Elephant,1.0, Egg White,Fl Oz
Whiskey Toddy (cold),2.0, Blended whiskey,Fl Oz
Kretchma Cocktail,0.25, Fresh lemon juice,Fl Oz
Whiskey Skin,2.0, blended whiskey,Fl Oz
Katana,0.5, Sake,Fl Oz
Ethel Duffy Cocktail,0.75, Triple Sec,Fl Oz
Daiquiri,0.75, Simple Syrup,Fl Oz
Wembley Cocktail,0.25, Apricot-Flavored Brandy,Fl Oz
Weep-No-More Cocktail,0.75, Brandy,Fl Oz
Jungle Juice,0.5, Triple Sec,Fl Oz
Wedding Belle Cocktail,0.75, Gin,Fl Oz
Waterloo,0.5, Mandarine Napoleon Liqueur,Fl Oz
Waterbury Cocktail,1.0, Egg White,Fl Oz
Washington Cocktail,2.0, Bitters,Fl Oz
The Jamaican Ten Speed,0.25, Creme de banana,Fl Oz
Twin Six Cocktail,0.25, Grenadine,Fl Oz
Jackie-O,0.5, Creme de Cassis,Fl Oz
Trois Rivieres,1.5, Triple Sec,Fl Oz
Tovarich Cocktail,0.5, Juice of a Lime,Fl Oz
Italian Screwdriver,3.0, Orange juice,Fl Oz
Ibiza,1.0, Grapefruit Juice,Fl Oz
Thunder,1.5, Brandy,Fl Oz
Huntsman Cocktail,0.5, Fresh Lime Juice,Fl Oz
Tequila Fizz,1.0, Lemon Juice,Fl Oz
Humpty Dumpty,0.5, Galliano,Fl Oz
Tequila Cocktail,4.0, Grenadine,Fl Oz
Temptation Cocktail,0.5, Anis,Fl Oz
Tahitian Tea,0.5, Vodka,Fl Oz
Limey ,0.5, Triple Sec,Fl Oz
Headless Horseman,1, Ginger ale,garnish
Love Cocktail,0.5, Lemon Juice,Fl Oz
Los Angeles Cocktail,1.0, Whole Egg,Fl Oz
Long Island Tea,0.5, Light Rum,Fl Oz
Harvey Wallbanger,0.5, Galliano,Fl Oz
Lil Naue,0.5, Apricot-Flavored Brandy,Fl Oz
Harrington,1.0, Green Chartreuse,Fl Oz
El Profesor,0.5, Benedictine,Fl Oz
Leap Year Cocktail,0.5, Sweet Vermouth,Fl Oz
Lasky Cocktail,0.75, Gin,Fl Oz
Lady Love Fizz,1.0, Egg White,Fl Oz
Handball Cooler,0.5, Orange juice,Fl Oz
Hyatt's Jamaican Banana,0.5, Creme de banana,Fl Oz
H.P.W. Cocktail,1.5, Gin,Fl Oz
Hot Shot Margarita,1.5, Lemon or Lime Juice,Fl Oz
The Groupie,2.0, Citrus-flavored vodka,Fl Oz
Hot Brandy Flip,1.5, Brandy,Fl Oz
Grape Nehi,1.0, Fresh lemon juice,Fl Oz
Hole-in-One Cocktai,0.25, Lemon Juice,Fl Oz
Grapefruit Gimlet Royale,0.25, Fresh Lime Juice,Fl Oz
Hair Raiser,1.0, Lemon Juice,Fl Oz
Green Opal,1.0, Anis,Fl Oz
